,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
1,A,4.843573923166472,2.07,10.57,1.2,2.4,2.9,10.2,5.62,35.1
2,B,4.8920912361020275,2.25,10.96,1.27,2.7,3.2,10.899999999999999,5.12,29.5
3,C,3.738632854258226,1.67,12.0,1.33,2.9,3.7,10.5,5.09,22.8
4,A,3.4425152319950008,2.55,10.54,1.35,1.8,2.4,9.0,4.26,24.1
5,B,3.5652194802358594,2.1,8.89,1.31,2.4,2.9,10.6,5.13,25.5
6,C,3.6868814457649055,2.6544664031620555,9.996713615023474,1.31,2.4000000000000004,2.6,10.4,4.6224,29.2
7,A,3.512797510069571,2.36,8.4,1.22,2.7,3.3,9.0,4.85,30.2
8,B,3.286409266409266,2.55,9.63,1.2,2.1,2.8,8.100000000000001,4.69,19.5
9,C,2.6950485436893206,1.02,10.09,,0.6,2.5,8.6,5.28,34.6
10,A,,,,,,,0.0,,
11,B,,,,,,,0.0,,
12,C,,,,,,,0.0,,
13,A,,,,,,,0.0,,
14,B,,,,,,,0.0,,
15,C,,,,,,,0.0,,
16,A,,,,,,,0.0,,
17,B,,,,,,,0.0,,
18,C,,,,,,,0.0,,
19,A,,,,,,,0.0,,
20,B,,,,,,,0.0,,
21,C,,,,,,,0.0,,
22,A,,,,,,,0.0,,
23,B,,,,,,,0.0,,
24,C,,,,,,,0.0,,
25,A,,,,,,,0.0,,
26,B,,,,,,,0.0,,
27,C,,,,,,,0.0,,
28,A,,,,,,,0.0,,
29,B,,,,,,,0.0,,
30,C,,,,,,,0.0,,
31,A,4.692794195717571,2.09,9.37,1.35,3.0,3.8,10.899999999999999,5.96,25.2
32,B,4.915581639344262,3.5,9.31,1.3,2.2,3.3,12.9,5.38,13.8
33,C,4.690686686040253,2.72,8.9,1.33,2.3,3.9,9.6,5.71,26.4
34,A,4.421461289014998,2.79,9.43,1.23,1.7000000000000002,2.7,10.8,5.16,15.5
35,B,5.2505824858010826,3.0,9.92,1.33,1.7000000000000002,2.8,10.2,5.71,25.4
36,C,5.968353342600784,3.27,9.54,1.28,2.5,3.3,9.6,7.19,24.299999999999997
37,A,5.33923568575233,3.24,9.82,1.34,2.4000000000000004,2.4,9.4,5.8,28.2
38,B,4.77669099756691,2.51,9.08,1.33,2.4,2.8,10.4,5.21,20.0
39,C,3.6679721287842386,2.13,8.51,1.32,2.8,3.3,8.5,3.67,26.7
40,A,5.439982823235478,2.66,10.81,1.24,2.0,3,11.0,4.6,27.0
41,B,3.393663217309501,2.9,10.4,1.35,1.4,2.3,9.600000000000001,3.66,17.3
42,C,4.581435617860852,2.83,9.88,1.3,2.5,2.8,11.5,4.54,27.5
43,A,4.415095649229727,2.63,10.1,1.23,2.3,3.1,10.6,5.06,22.6
44,B,4.627320647002855,3.58,10.4,1.37,1.9,2.2,8.7,4.77,22.9
45,C,4.213448504983389,3.22,9.19,1.34,2.1,2.3,9.1,4.14,21.1
46,A,4.263295314771329,3.07,9.53,1.39,2.4,2.4,11.0,4.08,24.7
47,B,4.728981541450778,3.06,9.64,1.37,2.0,2.4,9.5,4.76,25.3
48,C,3.4570772606174582,2.1,9.94,1.37,2.8,3.2,11.7,3.41,21.1
49,A,3.6859053763440857,1.68,9.24,1.28,2.2,2.9,9.5,3.63,20.7
50,B,3.2168271165454265,2.12,7.97,1.24,2.3,3,10.4,3.13,13.1
51,C,4.136902483603914,2.16,11.21,1.36,2.8,3.4,11.4,4.34,26.6
52,A,4.485041660116334,3.08,3.08,1.3,3.0,3.1,10.8,6.02,24.1
53,B,3.080553875755909,2.26,2.26,1.25,8.9,3,9.0,3.76,19.9
54,C,3.414145362349461,1.95,1.95,1.3,3.4,4.2,10.9,4.97,26.0
55,A,4.153809186444681,1.81,9.84,1.41,2.4,3.6,11.3,4.74,24.3
56,B,4.684054913294799,2.52,10.24,1.43,3.1999999999999997,3.9,11.8,4.49,28.2
57,C,4.7624025215970125,2.94,10.02,1.4,2.0,3.4,11.0,5.24,25.5
58,A,4.092538984406237,1.7,9.54,1.29,2.1,3.1,9.8,4.42,17.3
59,B,3.5771186214266626,2.04,9.51,1.32,2.5,3.6,9.8,3.81,24.8
60,C,5.401128086209249,4.23,10.7,1.36,1.9,2.9,11.399999999999999,5.38,19.6
61,A,4.2254468362687545,2.19,9.48,1.32,2.7,3.5,13.6,4.61,21.0
62,B,4.98090235396687,3.23,10.88,1.46,3.1,3.9,11.6,4.09,22.4
63,C,4.254260811263828,2.14,10.42,1.36,2.6,4,11.0,4.69,24.3
64,A,5.183202069560218,2.92,10.62,1.38,2.3,3.3,10.1,5.13,22.2
65,B,5.128171455340412,4.43,10.62,1.27,2.8,3.6,12.100000000000001,4.27,20.3
66,C,4.618898030127463,2.42,8.9,1.32,2.0,2.9,11.0,5.42,25.0
67,A,5.140602194133079,3.44,9.94,1.38,2.5999999999999996,2.8,10.4,4.38,26.5
68,B,4.413168730004172,3.04,9.22,1.36,3.0,3.2,10.5,4.34,23.8
69,C,4.3124400746375775,2.99,8.69,1.28,2.5,3.3,11.5,4.28,30.4
70,A,3.6994605755581365,1.7,8.11,1.32,3.4,4.2,11.6,4.28,34.0
71,B,4.8819300592394415,3.44,9.82,1.48,3.5,4.8,12.7,5.12,32.5
72,C,5.128831955922865,3.36,9.71,1.39,2.5999999999999996,3,9.9,5.57,27.1
73,A,3.930811258278146,3.71,7.87,1.21,2.5,3,11.600000000000001,4.18,28.0
74,B,4.980813499922026,2.129407114624506,9.77,1.27,2.4,2.8,10.9,6.550202808112324,31.0
75,C,4.726302333923603,2.411383399209486,9.873860465116278,1.35,2.3,3.3,10.8,5.1160930232558135,27.3
76,A,3.79086773255814,2.69,8.74,1.43,2.2,2.9,10.7,3.54,23.9
77,B,3.522204555878306,1.68,7.78,1.47,2.6,3.3,11.4,4.56,21.1
78,C,4.8378786415580235,2.2,9.17,1.32,1.8,2.5,9.0,6.24,30.8
79,A,4.452424046541694,1.97,8.77,1.43,3.8,3.6,11.2,5.4,28.0
80,B,3.569051752374713,1.84,7.24,1.27,2.5,3.5,10.899999999999999,4.97,23.2
81,C,4.490959290608625,3.09,8.09,1.44,2.1,2.8,9.5,4.64,17.6
82,A,3.38661320010518,2.73,6.56,1.34,3.4,2.8,11.5,3.34,26.0
83,B,2.8630019059720455,1.64,6.3,1.42,2.8,2.5,10.2,3.62,21.299999999999997
84,C,3.8005922847123004,1.73,7.44,1.36,1.3,2.3,9.2,4.86,20.1
85,A,4.966688596491228,3.04,10.1,1.46,2.5,2.9,11.8,5.13,25.3
86,B,4.092256,2.87,7.79,1.51,2.0,3.4,10.899999999999999,4.42,19.9
87,C,4.765403888280394,3.42,8.87,1.41,2.5,2.8,10.899999999999999,4.7,27.099999999999998
88,A,6.063415753250063,5.14,10.44,1.49,2.5,3,10.8,5.62,23.599999999999998
89,B,4.513285984848484,2.44,8.48,1.36,2.3,2.6,9.9,4.08,30.7
90,C,5.835593963626983,3.56,10.04,1.32,1.7000000000000002,2.9,10.7,6,20.8
91,A,5.3576505280482785,2.67,10.39,1.4,2.5999999999999996,2.6,11.2,6.37,24.599999999999998
92,B,4.505627615062761,2.13,10.63,1.37,2.5,2.8,8.9,4.55,21.4
93,C,4.230675960021041,2.11,10.59,1.4,2.7,3.2,10.2,3.72,25.2
94,A,4.927063867534003,3.16,9.32,1.42,2.5,3.3,13.4,4.81,19.8
95,B,5.197802197802198,4.45,10.03,1.36,2.5999999999999996,2.6,10.8,4.48,17.0
96,C,4.576205581820955,2.6,9.52,1.38,3.4,3.5,10.5,4.85,27.7
97,A,3.6803277535518357,2.63,7.91,1.3,3.0,3.6,11.5,3.45,22.6
98,B,5.189777973827377,2.99,9.62,1.42,2.5,3,11.8,5.73,24.799999999999997
99,C,3.8148839196695628,2.76,7.62,1.42,3.1999999999999997,3.9,12.7,3.43,26.0
100,A,5.2975556348923005,4.61,9.16,1.45,2.2,3.6,10.2,4.68,23.4
101,B,4.571749966320894,2.54,10.44,1.44,2.2,2.8,10.7,5.56,18.0
102,C,4.504286105032823,3.19,8.11,1.44,2.2,3.2,11.2,4.64,24.0
103,A,4.513949563145354,2.96,9.92,,2.4,2.8,11.1,4.97,20.7
104,B,4.79381836596894,2.7,8.27,1.49,2.4,2.6,10.9,5.54,24.5
