,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10,Date
1,A,4.843573923166472,2.07,10.57,1.2,2.4,2.9,10.2,5.62,35.1,2023-04-01
2,B,4.8920912361020275,2.25,10.96,1.27,2.7,3.2,10.899999999999999,5.12,29.5,2023-04-01
3,C,3.738632854258226,1.67,12.0,1.33,2.9,3.7,10.5,5.09,22.8,2023-04-01
4,A,3.4425152319950008,2.55,10.54,1.35,1.8,2.4,9.0,4.26,24.1,2023-04-02
7,A,3.512797510069571,2.36,8.4,1.22,2.7,3.3,9.0,4.85,30.2,2023-04-03
31,A,4.692794195717571,2.09,9.37,1.35,3.0,3.8,10.899999999999999,5.96,25.2,2023-04-11
34,A,4.421461289014998,2.79,9.43,1.23,1.7000000000000002,2.7,10.8,5.16,15.5,2023-04-12
37,A,5.33923568575233,3.24,9.82,1.34,2.4000000000000004,2.4,9.4,5.8,28.2,2023-04-13
40,A,5.439982823235478,2.66,10.81,1.24,2.0,3,11.0,4.6,27.0,2023-04-14
43,A,4.415095649229727,2.63,10.1,1.23,2.3,3.1,10.6,5.06,22.6,2023-04-15
46,A,4.263295314771329,3.07,9.53,1.39,2.4,2.4,11.0,4.08,24.7,2023-04-16
49,A,3.6859053763440857,1.68,9.24,1.28,2.2,2.9,9.5,3.63,20.7,2023-04-17
52,A,4.485041660116334,3.08,3.08,1.3,3.0,3.1,10.8,6.02,24.1,2023-04-18
55,A,4.153809186444681,1.81,9.84,1.41,2.4,3.6,11.3,4.74,24.3,2023-04-19
58,A,4.092538984406237,1.7,9.54,1.29,2.1,3.1,9.8,4.42,17.3,2023-04-20
61,A,4.2254468362687545,2.19,9.48,1.32,2.7,3.5,13.6,4.61,21.0,2023-04-21
64,A,5.183202069560218,2.92,10.62,1.38,2.3,3.3,10.1,5.13,22.2,2023-04-22
67,A,5.140602194133079,3.44,9.94,1.38,2.5999999999999996,2.8,10.4,4.38,26.5,2023-04-23
70,A,3.6994605755581365,1.7,8.11,1.32,3.4,4.2,11.6,4.28,34.0,2023-04-24
73,A,3.930811258278146,3.71,7.87,1.21,2.5,3,11.600000000000001,4.18,28.0,2023-04-25
76,A,3.79086773255814,2.69,8.74,1.43,2.2,2.9,10.7,3.54,23.9,2023-04-26
79,A,4.452424046541694,1.97,8.77,1.43,3.8,3.6,11.2,5.4,28.0,2023-04-27
82,A,3.38661320010518,2.73,6.56,1.34,3.4,2.8,11.5,3.34,26.0,2023-04-28
85,A,4.966688596491228,3.04,10.1,1.46,2.5,2.9,11.8,5.13,25.3,2023-04-29
88,A,6.063415753250063,5.14,10.44,1.49,2.5,3,10.8,5.62,23.599999999999998,2023-04-30
91,A,5.3576505280482785,2.67,10.39,1.4,2.5999999999999996,2.6,11.2,6.37,24.599999999999998,2023-05-01
94,A,4.927063867534003,3.16,9.32,1.42,2.5,3.3,13.4,4.81,19.8,2023-05-02
97,A,3.6803277535518357,2.63,7.91,1.3,3.0,3.6,11.5,3.45,22.6,2023-05-03
100,A,5.2975556348923005,4.61,9.16,1.45,2.2,3.6,10.2,4.68,23.4,2023-05-04
106,A,4.040394842868654,2.85,7.97,1.46,3.3,3.3,10.3,3.97,19.0,2023-05-06
109,C,3.830262362637362,2.07,9.78,1.49,2.7,3.4,11.1,3.33,26.5,2023-05-07
112,C,4.439842261439949,3.23,9.58,1.34,2.8,2.9,9.1,4.46,37.7,2023-05-08
115,C,4.266874308883155,1.81,9.23,1.41,3.3,3,12.1,4.51,23.5,2023-05-09
118,C,5.510645704660305,1.6,9.38,1.45,3.1,2.8,9.600000000000001,5.45,27.3,2023-05-10
121,C,4.47608977398451,3.2,9.46,1.37,2.5999999999999996,2.3,11.8,4.93,23.5,2023-05-11
124,B,4.785507246376811,3.46,9.78,1.43,3.8000000000000003,3.2,8.9,5.92,20.4,2023-05-12
127,B,4.0054023536895675,3.14,9.47,1.39,2.7,2.8,10.3,5.04,19.5,2023-05-13
130,B,4.5032074844995575,2.64,10.04,1.34,3.2,2.7,9.0,5.51,23.5,2023-05-14
133,B,3.726841944359523,1.42,8.33,1.39,2.1,3,10.6,4.43,25.400000000000002,2023-05-15
136,B,3.771035577449371,2.44,8.92,1.32,2.7,2.7,10.399999999999999,3.65,24.6,2023-05-16
139,A,3.8477971941914837,3.09,8.51,1.37,2.8,3.2,10.8,4.76,27.3,2023-05-17
142,A,5.259424938318466,4.46,9.31,1.56,2.8,2.9,11.2,4.68,19.6,2023-05-18
148,A,3.871021686746988,3.03,9.65,1.32,2.1,2.6,8.5,3.52,40.5,2023-05-20
151,A,4.125716058960435,3.16,9.07,1.47,3.3,3.1,12.1,4.73,21.700000000000003,2023-05-21
154,A,3.5352411417322833,2.66,5.51,1.42,2.4,2.6,9.899999999999999,3.94,17.5,2023-05-22
157,A,3.3556535908267953,2.22,6.77,1.28,2.7,3.4,10.4,4.06,18.0,2023-05-23
160,A,5.414128040663199,4.38,8.68,1.29,2.7,3.1,10.6,5.66,17.9,2023-05-24
163,A,6.320029543843063,3.92,8.89,1.4,1.9,1.9,5.9,8.16,17.2,2023-05-25
166,C,3.407761362213597,2.07,6.86,1.35,2.2,2.2,10.2,4.55,28.799999999999997,2023-05-26
169,A,3.6695185593531785,1.68,7.63,1.27,1.7000000000000002,2.8,8.3,4.01,26.2,2023-05-27
172,A,5.996075085324232,3.83,7.79,1.22,2.3,2.2,8.2,8.09,26.0,2023-05-28
175,A,4.754807813484561,3.72,8.21,1.36,1.8,2,9.0,5.38,19.1,2023-05-29
178,A,6.32742385786802,4.01,10.09,1.42,1.9,2.9,8.6,6.7,22.6,2023-05-30
181,A,5.12030944075616,3.12,10.68,1.28,2.2,2.9,9.5,6.52,19.2,2023-05-31
184,A,6.614838396448883,4.36,9.83,1.3,2.5,2.9,10.3,8.15,19.4,2023-06-01
187,A,6.002895768025078,2.62,11.52,1.33,2.4,2.9,9.399999999999999,8.59,20.9,2023-06-02
190,A,4.888357311965033,3.17,8.97,1.3,3.1,3.9,11.7,6.52,39.7,2023-06-03
196,A,2.683973764409699,1.86,4.93,1.37,3.5,4.2,10.5,2.92,30.5,2023-06-05
199,A,3.0047928854197563,1.5289243027888446,8.250046224961478,1.32,4.5,4.6,11.5,3.5282868525896416,30.7,2023-06-06
202,A,3.3093682262754425,2.31,7.01,1.51,3.6999999999999997,4.2,11.8,2.17,29.1,2023-06-07
208,A,3.6960492125984254,2.48,7.89,1.32,3.6999999999999997,4.5,11.6,4.15,31.7,2023-06-09
