,Date,BALTICF,BALTICF,BALTICF,BALTICF,BPTCMC1,BPTCMC1,BPTCMC1,BPTCMC1,BPTCMC2,BPTCMC2,BPTCMC2,BPTCMC2,BPTCYC1,BPTCYC1,BPTCYC1,BPTCYC1,BPANMAX,BHANDSZ,BSUPRAI,BPANTCA,RVPRDMG,MISRDMG,MISRDM2,GLTJEAG,GLTKHIG,PMOJEAG,PMOLZCG,PMOKHIG,RUETAOG,BNDTAOG,RDMJEAG,RDMKHIG,ODSJEAG,ODSTAOG,ODSBPNG,ODSCHIG,ODSPUSG,ODSRDMG,ODSHUNG,PAZCNRA,PASCNRA,PAZJPRA,PAZTWRA,PAGCNRA,PAGJPRA,PAGTWRA,RVPGCGR,RVPGIGR,RVPGPGR,GLTSCNR,PASKRRA,PNGZCNR,PNGZIDR,PNGZJPR,PAZIDRA,CANNCNR,CANNIDR,DVTGCNR,DVTGIDR,DVTGJPR,PDXCCNR,PDXCIDR,PAGIDRA,PAGKRRA,DAMDLCG,PNGDLC2,PMODLCG,CNDBPNG,CNDCHIG,DVTDLC2,BPTCMC3,BPTCMC4,BPTCMC5,BPTCQC1,BPTCQC2,4605,4606,5195,10590,Value
0,2015-07-31,1131.0,1131.0,1131.0,1131.0,7817.0,7817.0,7817.0,7817.0,7875.0,7875.0,7875.0,7875.0,7215.0,7215.0,7215.0,7215.0,1023.0,423.0,899.0,8146.0,23.28,21.32,32.31,13.44,12.4,19.54,9.35,18.5,26.65,21.02,28.31,27.2,24.81,33.43,30.81,36.11,33.82,23.09,33.48,33.0,10.07,41.59,35.66,28.86,37.6,32.32,35.12,40.28,44.93,10.07,10.76,33.0,38.23,41.59,38.23,12.46,15.78,28.86,34.03,37.6,15.28,18.71,34.03,30.43,9.01,25.52,13.35,28.02,33.25,34.73,8050.0,8175.0,7925.0,8063.0,6358.0,5.2,5.7,6.4,4.9,9353.0
1,2015-08-01,1131.0,1131.0,1131.0,1131.0,7817.0,7817.0,7817.0,7817.0,7875.0,7875.0,7875.0,7875.0,7215.0,7215.0,7215.0,7215.0,1023.0,423.0,899.0,8146.0,23.28,21.32,32.31,13.44,12.4,19.54,9.35,18.5,26.65,21.02,28.31,27.2,24.81,33.43,30.81,36.11,33.82,23.09,33.48,33.0,10.07,41.59,35.66,28.86,37.6,32.32,35.12,40.28,44.93,10.07,10.76,33.0,38.23,41.59,38.23,12.46,15.78,28.86,34.03,37.6,15.28,18.71,34.03,30.43,9.01,25.52,13.35,28.02,33.25,34.73,8050.0,8175.0,7925.0,8063.0,6358.0,5.2,5.7,6.4,4.9,9353.0
2,2015-08-02,1131.0,1131.0,1131.0,1131.0,7817.0,7817.0,7817.0,7817.0,7875.0,7875.0,7875.0,7875.0,7215.0,7215.0,7215.0,7215.0,1023.0,423.0,899.0,8146.0,23.28,21.32,32.31,13.44,12.4,19.54,9.35,18.5,26.65,21.02,28.31,27.2,24.81,33.43,30.81,36.11,33.82,23.09,33.48,33.0,10.07,41.59,35.66,28.86,37.6,32.32,35.12,40.28,44.93,10.07,10.76,33.0,38.23,41.59,38.23,12.46,15.78,28.86,34.03,37.6,15.28,18.71,34.03,30.43,9.01,25.52,13.35,28.02,33.25,34.73,8050.0,8175.0,7925.0,8063.0,6358.0,5.2,5.7,6.4,4.9,9353.0
3,2015-08-03,1151.0,1151.0,1151.0,1151.0,7850.0,7850.0,7850.0,7850.0,8117.0,8117.0,8117.0,8117.0,7284.0,7284.0,7284.0,7284.0,1006.0,424.0,900.0,8010.0,23.32,21.35,32.1,13.03,12.03,18.94,9.14,17.94,26.31,20.4,28.25,27.14,24.78,33.36,30.75,36.18,33.75,23.06,33.42,32.68,9.78,41.23,35.32,28.61,37.31,32.04,34.79,39.9,44.54,9.78,10.42,32.68,37.86,41.23,37.86,12.28,15.52,28.61,33.73,37.31,15.1,18.44,33.73,30.17,8.77,25.09,13.0,27.97,33.31,34.33,8258.0,8342.0,8033.0,8211.0,6467.0,5.2,5.7,6.4,4.9,9354.0
4,2015-08-04,1200.0,1200.0,1200.0,1200.0,8100.0,8100.0,8100.0,8100.0,8392.0,8392.0,8392.0,8392.0,7450.0,7450.0,7450.0,7450.0,1001.0,425.0,899.0,7968.0,23.21,21.27,31.79,12.87,11.89,18.71,9.05,17.72,26.31,20.16,28.23,27.1,24.81,33.34,30.75,36.27,33.73,23.06,33.43,32.51,9.67,41.04,35.14,28.48,37.17,31.9,34.79,39.9,44.54,9.78,10.3,32.68,37.86,41.23,37.67,12.28,15.52,28.61,33.73,37.31,15.1,18.44,33.57,30.03,8.69,25.09,12.86,27.97,33.4,34.26,8642.0,8800.0,8417.0,8619.0,6667.0,5.2,5.7,6.4,4.9,9312.0
5,2015-08-05,1222.0,1222.0,1222.0,1222.0,8179.0,8179.0,8179.0,8179.0,8500.0,8500.0,8500.0,8500.0,7442.0,7442.0,7442.0,7442.0,1005.0,427.0,901.0,8001.0,23.43,21.45,32.3,12.82,11.84,18.63,9.03,17.65,26.43,20.08,28.36,27.22,24.91,33.49,30.88,36.43,33.88,23.14,33.57,32.75,9.65,41.32,35.42,28.67,37.4,32.13,34.86,40.0,44.64,9.65,10.26,32.75,37.95,41.32,37.95,12.17,15.36,28.67,33.81,37.4,14.98,18.27,33.81,30.24,8.66,25.23,12.82,28.1,33.55,34.51,8692.0,8867.0,8471.0,8676.0,6633.0,5.2,5.7,6.4,4.9,9319.0
6,2015-08-06,1201.0,1201.0,1201.0,1201.0,8258.0,8258.0,8258.0,8258.0,8500.0,8500.0,8500.0,8500.0,7455.0,7455.0,7455.0,7455.0,1013.0,432.0,904.0,8063.0,23.83,21.78,32.75,12.77,11.8,18.56,9.0,17.59,26.55,20.0,28.51,27.36,25.03,33.66,31.03,36.65,34.06,23.23,33.74,32.9,9.61,41.51,35.61,28.8,37.56,32.3,35.02,40.2,44.84,9.61,10.23,32.9,38.15,41.51,38.15,12.15,15.34,28.8,33.98,37.56,14.96,18.25,33.98,30.39,8.63,25.35,12.78,28.24,33.77,34.5,8708.0,8875.0,8429.0,8671.0,6658.0,5.2,5.7,6.4,4.9,9315.0
7,2015-08-07,1200.0,1200.0,1200.0,1200.0,8483.0,8483.0,8483.0,8483.0,8738.0,8738.0,8738.0,8738.0,7569.0,7569.0,7569.0,7569.0,1021.0,438.0,904.0,8127.0,24.08,21.98,32.96,12.79,11.82,18.59,9.01,17.62,26.51,20.04,28.41,27.26,24.97,33.55,30.93,36.5,33.94,23.18,33.64,32.9,9.63,41.53,35.63,28.81,37.58,32.32,35.03,40.21,44.86,9.63,10.26,32.9,38.16,41.53,38.16,12.17,15.36,28.81,33.99,37.58,14.98,18.27,33.99,30.41,8.64,25.29,12.79,28.15,33.64,34.5,8933.0,9075.0,8575.0,8861.0,6842.0,5.0,5.5,6.3,4.7,9320.0
8,2015-08-08,1200.0,1200.0,1200.0,1200.0,8483.0,8483.0,8483.0,8483.0,8738.0,8738.0,8738.0,8738.0,7569.0,7569.0,7569.0,7569.0,1021.0,438.0,904.0,8127.0,24.08,21.98,32.96,12.79,11.82,18.59,9.01,17.62,26.51,20.04,28.41,27.26,24.97,33.55,30.93,36.5,33.94,23.18,33.64,32.9,9.63,41.53,35.63,28.81,37.58,32.32,35.03,40.21,44.86,9.63,10.26,32.9,38.16,41.53,38.16,12.17,15.36,28.81,33.99,37.58,14.98,18.27,33.99,30.41,8.64,25.29,12.79,28.15,33.64,34.5,8933.0,9075.0,8575.0,8861.0,6842.0,5.0,5.5,6.3,4.7,9320.0
9,2015-08-09,1200.0,1200.0,1200.0,1200.0,8483.0,8483.0,8483.0,8483.0,8738.0,8738.0,8738.0,8738.0,7569.0,7569.0,7569.0,7569.0,1021.0,438.0,904.0,8127.0,24.08,21.98,32.96,12.79,11.82,18.59,9.01,17.62,26.51,20.04,28.41,27.26,24.97,33.55,30.93,36.5,33.94,23.18,33.64,32.9,9.63,41.53,35.63,28.81,37.58,32.32,35.03,40.21,44.86,9.63,10.26,32.9,38.16,41.53,38.16,12.17,15.36,28.81,33.99,37.58,14.98,18.27,33.99,30.41,8.64,25.29,12.79,28.15,33.64,34.5,8933.0,9075.0,8575.0,8861.0,6842.0,5.0,5.5,6.3,4.7,9320.0
